Comment,Designator,Footprint,LCSC Part #
CC0603KRX7R9BB104,C1,C0603,
Power,J1,PinSocket_1x08_P2.54mm_Vertical,
Analog,J2,PinSocket_1x06_P2.54mm_Vertical,
Digital/PWM,J5,PinSocket_1x10_P2.54mm_Vertical,
Digital/PWM,J6,PinSocket_1x08_P2.54mm_Vertical,
17-21SUYC/TR8,LED2,LED0805-R-RD,
17-21SUYC/TR8,LED3,LED0805-R-RD,
0603WAF3001T5E,R1,R0603,
0603WAF4701T5E,R2,R0603,
0603WAF4701T5E,R3,R0603,
0603WAF4701T5E,R4,R0603,
0603WAF4701T5E,R5,R0603,
0603WAF4701T5E,R6,R0603,
0603WAF4701T5E,R7,R0603,
0603WAF4701T5E,R8,R0603,
0603WAF4701T5E,R9,R0603,
0603WAF1002T5E,R10,R0603,
0603WAF3001T5E,R11,R0603,
2N7002,U2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,
MCP23S17-E/SP,U3,DIP-28_L34.6-W7.3-P2.54-LS10.2-BL,
2N7002,U4,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,
2N7002,U5,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,
2N7002,U6,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,
S07B-PASK-2(LF)(SN),U7,CONN-TH_S07B-PASK-2-LF-SN,
