"Refs","Value","Footprint","Qty","DNP"
"C1","CC0603KRX7R9BB104","footprint:C0603","1",""
"J1","Power","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1",""
"J2","Analog","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","1",""
"J5","Digital/PWM","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","1",""
"J6","Digital/PWM","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1",""
"LED2","17-21SUYC/TR8","footprint:LED0805-R-RD","1",""
"LED3","17-21SUYC/TR8","footprint:LED0805-R-RD","1",""
"R1","0603WAF3001T5E","footprint:R0603","1",""
"R2","0603WAF4701T5E","footprint:R0603","1",""
"R3","0603WAF4701T5E","footprint:R0603","1",""
"R4","0603WAF4701T5E","footprint:R0603","1",""
"R5","0603WAF4701T5E","footprint:R0603","1",""
"R6","0603WAF4701T5E","footprint:R0603","1",""
"R7","0603WAF4701T5E","footprint:R0603","1",""
"R8","0603WAF4701T5E","footprint:R0603","1",""
"R9","0603WAF4701T5E","footprint:R0603","1",""
"R10","0603WAF1002T5E","footprint:R0603","1",""
"R11","0603WAF3001T5E","footprint:R0603","1",""
"U2","2N7002","footprint:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","1",""
"U3","MCP23S17-E/SP","footprint:DIP-28_L34.6-W7.3-P2.54-LS10.2-BL","1",""
"U4","2N7002","footprint:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","1",""
"U5","2N7002","footprint:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","1",""
"U6","2N7002","footprint:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","1",""
"U7","S07B-PASK-2(LF)(SN)","footprint:CONN-TH_S07B-PASK-2-LF-SN","1",""
