Designator,Mid X,Mid Y,Layer,Rotation
C1,142.299975,-78.500000,T,180.000000
H1,103.000000,-49.000000,T,0.000000
H2,103.000000,-97.000000,T,0.000000
H3,158.000000,-49.000000,T,0.000000
H4,158.000000,-97.000000,T,0.000000
J1,117.140000,-97.000000,T,90.000000
J2,140.000000,-97.000000,T,90.000000
J5,108.000000,-48.740000,T,90.000000
J6,134.920000,-48.740000,T,90.000000
LED2,105.050292,-63.000000,T,0.000000
LED3,117.400000,-67.449708,T,90.000000
R1,109.050292,-63.000000,T,0.000000
R2,138.500000,-84.500000,T,-90.000000
R3,141.000000,-87.000000,T,180.000000
R4,156.246634,-87.000000,T,180.000000
R5,153.500000,-84.500000,T,-90.000000
R6,151.000000,-87.000000,T,180.000000
R7,148.500000,-84.500000,T,-90.000000
R8,146.000000,-87.000000,T,180.000000
R9,143.500000,-84.500000,T,-90.000000
R10,146.700000,-64.400000,T,0.000000
R11,117.358268,-63.753848,T,90.000000
U2,141.000000,-84.500000,T,-90.000000
U3,136.989992,-72.400000,T,0.000000
U4,156.000000,-84.500000,T,-90.000000
U5,151.000000,-84.500000,T,-90.000000
U6,146.000000,-84.500000,T,-90.000000
U7,108.377508,-72.870000,T,-90.000000
