Ref,Val,Package,PosX,PosY,Rot,Side
"C1","CC0603KRX7R9BB104","C0603",142.299975,-78.500000,180.000000,top
"H1","MountingHole","MountingHole_3.2mm_M3_DIN965_Pad",103.000000,-49.000000,0.000000,top
"H2","MountingHole","MountingHole_3.2mm_M3_DIN965_Pad",103.000000,-97.000000,0.000000,top
"H3","MountingHole","MountingHole_3.2mm_M3_DIN965_Pad",158.000000,-49.000000,0.000000,top
"H4","MountingHole","MountingHole_3.2mm_M3_DIN965_Pad",158.000000,-97.000000,0.000000,top
"J1","Power","PinSocket_1x08_P2.54mm_Vertical",117.140000,-97.000000,90.000000,top
"J2","Analog","PinSocket_1x06_P2.54mm_Vertical",140.000000,-97.000000,90.000000,top
"J5","Digital/PWM","PinSocket_1x10_P2.54mm_Vertical",108.000000,-48.740000,90.000000,top
"J6","Digital/PWM","PinSocket_1x08_P2.54mm_Vertical",134.920000,-48.740000,90.000000,top
"LED2","17-21SUYC/TR8","LED0805-R-RD",105.050292,-63.000000,0.000000,top
"LED3","17-21SUYC/TR8","LED0805-R-RD",117.400000,-67.449708,90.000000,top
"R1","0603WAF3001T5E","R0603",109.050292,-63.000000,0.000000,top
"R2","0603WAF4701T5E","R0603",138.500000,-84.500000,-90.000000,top
"R3","0603WAF4701T5E","R0603",141.000000,-87.000000,180.000000,top
"R4","0603WAF4701T5E","R0603",156.246634,-87.000000,180.000000,top
"R5","0603WAF4701T5E","R0603",153.500000,-84.500000,-90.000000,top
"R6","0603WAF4701T5E","R0603",151.000000,-87.000000,180.000000,top
"R7","0603WAF4701T5E","R0603",148.500000,-84.500000,-90.000000,top
"R8","0603WAF4701T5E","R0603",146.000000,-87.000000,180.000000,top
"R9","0603WAF4701T5E","R0603",143.500000,-84.500000,-90.000000,top
"R10","0603WAF1002T5E","R0603",146.700000,-64.400000,0.000000,top
"R11","0603WAF3001T5E","R0603",117.358268,-63.753848,90.000000,top
"U2","2N7002","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",141.000000,-84.500000,-90.000000,top
"U3","MCP23S17-E/SP","DIP-28_L34.6-W7.3-P2.54-LS10.2-BL",136.989992,-72.400000,0.000000,top
"U4","2N7002","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",156.000000,-84.500000,-90.000000,top
"U5","2N7002","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",151.000000,-84.500000,-90.000000,top
"U6","2N7002","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",146.000000,-84.500000,-90.000000,top
"U7","S07B-PASK-2(LF)(SN)","CONN-TH_S07B-PASK-2-LF-SN",108.377508,-72.870000,-90.000000,top
