Comment,Designator,Footprint,LCSC Part #
Conn_02x15_Odd_Even,J1,PinSocket_2x15_P2.54mm_Vertical,
0603WAF4701T5E,R2,R0603,
0603WAF4701T5E,R3,R0603,
0603WAF4701T5E,R4,R0603,
0603WAF4701T5E,R5,R0603,
0603WAF4701T5E,R6,R0603,
0603WAF4701T5E,R7,R0603,
0603WAF4701T5E,R8,R0603,
0603WAF4701T5E,R9,R0603,
2N7002,U2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,
S02B-PASK-2(LF)(SN),U3,CONN-TH_S02B-PASK-2-LF-SN,
2N7002,U4,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,
2N7002,U5,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,
2N7002,U6,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,
S07B-PASK-2(LF)(SN),U7,CONN-TH_S07B-PASK-2-LF-SN,
