"Refs","Value","Footprint","Qty","DNP"
"H5","MountingHole","MountingHole:MountingHole_3.2mm_M3","1",""
"H6","MountingHole","MountingHole:MountingHole_3.2mm_M3","1",""
"H7","MountingHole","MountingHole:MountingHole_3.2mm_M3","1",""
"H8","MountingHole","MountingHole:MountingHole_3.2mm_M3","1",""
"H9","MountingHole","MountingHole:MountingHole_2.2mm_M2","1",""
"H10","MountingHole","MountingHole:MountingHole_2.2mm_M2","1",""
"H11","MountingHole","MountingHole:MountingHole_2.2mm_M2","1",""
"H12","MountingHole","MountingHole:MountingHole_2.2mm_M2","1",""
"J1","Conn_02x15_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x15_P2.54mm_Vertical","1",""
"R2","0603WAF4701T5E","footprint:R0603","1",""
"R3","0603WAF4701T5E","footprint:R0603","1",""
"R4","0603WAF4701T5E","footprint:R0603","1",""
"R5","0603WAF4701T5E","footprint:R0603","1",""
"R6","0603WAF4701T5E","footprint:R0603","1",""
"R7","0603WAF4701T5E","footprint:R0603","1",""
"R8","0603WAF4701T5E","footprint:R0603","1",""
"R9","0603WAF4701T5E","footprint:R0603","1",""
"U2","2N7002","footprint:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","1",""
"U3","S02B-PASK-2(LF)(SN)","footprint:CONN-TH_S02B-PASK-2-LF-SN","1",""
"U4","2N7002","footprint:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","1",""
"U5","2N7002","footprint:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","1",""
"U6","2N7002","footprint:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","1",""
"U7","S07B-PASK-2(LF)(SN)","footprint:CONN-TH_S07B-PASK-2-LF-SN","1",""
