Designator,Mid X,Mid Y,Layer,Rotation
H5,78.000000,-78.000000,T,0.000000
H6,122.000000,-78.000000,T,0.000000
H7,78.000000,-122.000000,T,0.000000
H8,122.000000,-122.000000,T,0.000000
H9,82.000000,-78.000000,T,0.000000
H10,118.000000,-78.000000,T,0.000000
H11,82.000000,-122.000000,T,0.000000
H12,118.000000,-122.000000,T,0.000000
J1,82.220000,-82.220000,T,0.000000
JP1,107.600000,-95.650000,T,0.000000
JP2,107.600000,-99.200000,T,0.000000
JP3,107.600000,-102.750000,T,0.000000
JP4,107.600000,-106.300000,T,0.000000
R2,104.100000,-96.000000,T,0.000000
R3,94.900000,-96.000000,T,90.000000
R4,94.900000,-99.500000,T,90.000000
R5,104.100000,-99.500000,T,0.000000
R6,94.900000,-103.000000,T,90.000000
R7,104.100000,-103.000000,T,0.000000
R8,94.900000,-106.500000,T,90.000000
R9,104.100000,-106.500000,T,0.000000
U2,101.000000,-96.000000,T,180.000000
U3,100.000000,-83.227000,T,0.000000
U4,101.000000,-99.500000,T,180.000000
U5,101.000000,-103.000000,T,180.000000
U6,101.000000,-106.500000,T,180.000000
U7,116.700000,-100.000000,T,90.000000
