Ref,Val,Package,PosX,PosY,Rot,Side
"H5","MountingHole","MountingHole_3.2mm_M3",78.000000,-78.000000,0.000000,top
"H6","MountingHole","MountingHole_3.2mm_M3",122.000000,-78.000000,0.000000,top
"H7","MountingHole","MountingHole_3.2mm_M3",78.000000,-122.000000,0.000000,top
"H8","MountingHole","MountingHole_3.2mm_M3",122.000000,-122.000000,0.000000,top
"H9","MountingHole","MountingHole_2.2mm_M2",82.000000,-78.000000,0.000000,top
"H10","MountingHole","MountingHole_2.2mm_M2",118.000000,-78.000000,0.000000,top
"H11","MountingHole","MountingHole_2.2mm_M2",82.000000,-122.000000,0.000000,top
"H12","MountingHole","MountingHole_2.2mm_M2",118.000000,-122.000000,0.000000,top
"J1","Conn_02x15_Odd_Even","PinSocket_2x15_P2.54mm_Vertical",82.220000,-82.220000,0.000000,top
"JP1","SolderJumper_2_Open","SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",107.600000,-95.650000,0.000000,top
"JP2","SolderJumper_2_Open","SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",107.600000,-99.200000,0.000000,top
"JP3","SolderJumper_2_Open","SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",107.600000,-102.750000,0.000000,top
"JP4","SolderJumper_2_Open","SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",107.600000,-106.300000,0.000000,top
"R2","0603WAF4701T5E","R0603",104.100000,-96.000000,0.000000,top
"R3","0603WAF4701T5E","R0603",94.900000,-96.000000,90.000000,top
"R4","0603WAF4701T5E","R0603",94.900000,-99.500000,90.000000,top
"R5","0603WAF4701T5E","R0603",104.100000,-99.500000,0.000000,top
"R6","0603WAF4701T5E","R0603",94.900000,-103.000000,90.000000,top
"R7","0603WAF4701T5E","R0603",104.100000,-103.000000,0.000000,top
"R8","0603WAF4701T5E","R0603",94.900000,-106.500000,90.000000,top
"R9","0603WAF4701T5E","R0603",104.100000,-106.500000,0.000000,top
"U2","2N7002","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",101.000000,-96.000000,180.000000,top
"U3","S02B-PASK-2(LF)(SN)","CONN-TH_S02B-PASK-2-LF-SN",100.000000,-83.227000,0.000000,top
"U4","2N7002","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",101.000000,-99.500000,180.000000,top
"U5","2N7002","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",101.000000,-103.000000,180.000000,top
"U6","2N7002","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR",101.000000,-106.500000,180.000000,top
"U7","S07B-PASK-2(LF)(SN)","CONN-TH_S07B-PASK-2-LF-SN",116.700000,-100.000000,90.000000,top
